Run,Goal,Steps,Risk,Auto,Seed,BrierScore,Continuity,StyleFidelity,GoalConsistency,SuggestedRiskAversion
0,avoid_loss,100,0.8,2,42,0.229,1.0,1.0,0.0,
1,avoid_loss,100,0.8,2,43,0.2096,1.0,1.0,0.0,
2,avoid_loss,100,0.8,2,44,0.1877,1.0,0.0,0.0,0.75
0,collect_reward,50,0.55,1,7,0.2375,1.0,0.0,0.0,0.6000000000000001
1,collect_reward,50,0.55,1,8,0.1664,1.0,0.0,0.0,0.5
2,collect_reward,50,0.55,1,9,0.2138,1.0,0.0,0.0,0.6000000000000001
3,collect_reward,50,0.55,1,10,0.2191,1.0,0.0,0.0,0.6000000000000001
4,collect_reward,50,0.55,1,11,0.155,1.0,0.0,0.0,0.6000000000000001
5,collect_reward,50,0.55,1,12,0.2192,1.0,0.0,0.0,0.5
6,collect_reward,50,0.55,1,13,0.1812,1.0,0.0,0.0,0.6000000000000001
7,collect_reward,50,0.55,1,14,0.1619,1.0,0.0,0.0,0.6000000000000001
8,collect_reward,50,0.55,1,15,0.216,1.0,0.0,0.0,0.6000000000000001
9,collect_reward,50,0.55,1,16,0.1866,1.0,0.0,0.0,0.6000000000000001
